#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_4043,Bacteria, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, 
OTU_3671,Bacteria, Actinobacteria, Rubrobacteria, Rubrobacterales, Rubrobacteraceae, , 
OTU_1249,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, , , 
OTU_3007,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_1726,Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, Gaiellaceae, , 
OTU_4120,Bacteria, Acidobacteria, Solibacteres, Solibacterales, , , 
OTU_2247,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_3378,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bacteriovoracaceae, , 
OTU_2948,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae,,
OTU_979,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae,,
OTU_4201,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_1344,Bacteria, Synergistetes, Synergistia, Synergistales, Dethiosulfovibrionaceae, Dethiosulfovibrio, peptidovorans
OTU_1774,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, , , 
OTU_2404,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae,,
OTU_1497,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_716,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Chitinibacter, tainanensis
OTU_2769,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, succinicans
OTU_444,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales,,,
OTU_335,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, 
OTU_1098,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, , 
OTU_2746,Bacteria, SR1, , , , , 
OTU_3647,Bacteria, Chloroflexi, Anaerolineae, SBR1031, A4b, , 
OTU_956,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, 
OTU_879,Bacteria, Cyanobacteria, Chloroplast, Stramenopiles, , , 
OTU_1479,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], , 
OTU_1023,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, , , 
OTU_353,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Limnobacter, 
OTU_3965,Bacteria, Gemmatimonadetes, Gemmatimonadetes,,,,
OTU_3686,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Nocardiaceae, Nocardia, 
OTU_634,Bacteria, Chloroflexi, Chloroflexi, [Roseiflexales], , , 
OTU_2794,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3331,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, 
OTU_2910,Bacteria, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, , 
OTU_1230,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
OTU_2821,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae,,
OTU_4229,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_3199,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae,,
OTU_1439,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_1559,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, , 
OTU_3914,Bacteria, Cyanobacteria, Chloroplast, Chlorophyta, , , 
OTU_2916,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, 
OTU_2150,Archaea, Crenarchaeota, Thaumarchaeota, Nitrososphaerales, Nitrososphaeraceae, Candidatus Nitrososphaera, 
OTU_112,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_038,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, 
OTU_3438,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Niastella, 
OTU_3334,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], DA101, 
OTU_3047,Bacteria,,,,,,
OTU_1991,Bacteria, Proteobacteria, Betaproteobacteria, MWH-UniP1, , , 
OTU_3719,Bacteria, Verrucomicrobia, Opitutae, [Cerasicoccales], [Cerasicoccaceae], , 
OTU_399,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_1684,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], DA101, 
OTU_3476,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_3972,Bacteria, Tenericutes, Mollicutes, Acholeplasmatales, Acholeplasmataceae, , 
OTU_248,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella, 
OTU_3624,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Candidatus Xiphinematobacter, 
OTU_2879,Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, , 
OTU_884,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, , , 
OTU_2118,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_3282,Bacteria, Acidobacteria, S035, , , , 
OTU_165,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_2383,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, 
OTU_2705,Bacteria, Firmicutes, Clostridia,,,,
OTU_2818,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae,,
OTU_2607,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], DA101, 
OTU_365,Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae, , 
OTU_2952,Bacteria, TM6, SJA-4, , , , 
OTU_1912,Bacteria, Proteobacteria, Alphaproteobacteria, Ellin329, , , 
OTU_1317,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Dermacoccaceae, Dermacoccus, 
OTU_082,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU_2738,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_3666,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae,,
OTU_3724,Bacteria, Proteobacteria, Gammaproteobacteria,,,,
OTU_3198,Bacteria, Chloroflexi, Anaerolineae, SBR1031, A4b, , 
OTU_246,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
OTU_1217,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Dechloromonas, 
OTU_1981,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_1427,Bacteria, Proteobacteria, Betaproteobacteria, MND1, , , 
OTU_3582,Bacteria,,,,,,
OTU_823,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, 
OTU_1056,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Saprospiraceae, , 
OTU_1858,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_4213,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_3938,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae,,
OTU_2263,Bacteria,,,,,,
OTU_3670,Bacteria, TM6, SJA-4, , , , 
OTU_3105,Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, , , 
OTU_3768,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_2328,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Cohnella, 
OTU_3519,Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae, , 
OTU_1112,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, SB-1, , 
OTU_3961,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_3050,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae,,
OTU_132,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,
OTU_1536,Bacteria, Proteobacteria, Betaproteobacteria, Methylophilales, Methylophilaceae, Methylotenera, mobilis
OTU_2639,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales,,,
OTU_842,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, succinicans
OTU_3935,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium,
OTU_3809,Bacteria, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, , 
OTU_1440,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
OTU_841,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium,
OTU_3644,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, 
OTU_268,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, , 
OTU_1622,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Cellulomonadaceae, Demequina, 
OTU_3549,Bacteria, TM6, SBRH58, , , , 
OTU_1022,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_4177,Bacteria, Proteobacteria, Deltaproteobacteria, MIZ46, , , 
OTU_1683,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, 
OTU_2041,Bacteria, Chlorobi, , , , , 
OTU_2712,Bacteria,,,,,,
OTU_982,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales],,,
OTU_1885,Bacteria, Proteobacteria, Betaproteobacteria, SC-I-84, , , 
OTU_2534,Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, Gaiellaceae, , 
OTU_4149,Archaea, Euryarchaeota, Methanomicrobia, Methanosarcinales, Methanosaetaceae, Methanosaeta, 
OTU_2756,Bacteria, Chloroflexi, Anaerolineae, SBR1031, A4b, , 
OTU_1503,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Facklamia, 
OTU_2933,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Novispirillum, 
OTU_726,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_3653,Bacteria, GN02, 3BR-5F, , , , 
OTU_4018,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae, , 
OTU_462,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, 
OTU_3469,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae,,
OTU_3727,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_1394,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_2986,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_1238,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae,,
OTU_3238,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, 
OTU_2000,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Candidatus Xiphinematobacter, 
OTU_3649,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales,,,
OTU_2132,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_4173,Bacteria, Armatimonadetes, OPB50, , , , 
OTU_1473,Bacteria, Chloroflexi, Anaerolineae, Caldilineales, Caldilineaceae, , 
OTU_520,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_1863,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Dyella, 
OTU_4137,Bacteria, Chloroflexi, TK10, , , , 
OTU_1118,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, multivorum
OTU_682,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, , 
OTU_565,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Uliginosibacterium, 
OTU_1358,Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae, Opitutus, 
OTU_1773,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, diminuta
OTU_475,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
OTU_181,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,,,
OTU_1884,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_2441,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_1167,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, , 
OTU_947,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], , 
OTU_2394,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_3152,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae, , 
OTU_4016,Bacteria, WS3, PRR-12, Sediment-1, PRR-10, , 
OTU_3150,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_2522,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Cellulomonadaceae, Demequina, 
OTU_2145,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_2719,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU_3503,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_1598,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_2714,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, , 
OTU_3597,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3265,Bacteria,,,,,,
OTU_4136,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_505,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae,,
OTU_3599,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, , 
OTU_503,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, Cryocola, 
OTU_1636,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, Steroidobacter, 
OTU_3739,Bacteria, Armatimonadetes, [Fimbriimonadia], [Fimbriimonadales], [Fimbriimonadaceae], Fimbriimonas, 
OTU_1178,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3138,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium,
OTU_3122,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_1130,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Ellin5290, , , 
OTU_717,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Roseococcus, 
OTU_1219,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, azotifigens
OTU_2174,Bacteria, Gemmatimonadetes, Gemmatimonadetes,,,,
OTU_2184,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales,,,
OTU_1837,Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, Gaiellaceae, , 
OTU_2446,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales,,,
OTU_3094,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, 
OTU_1980,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, , , 
OTU_1444,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae,,
OTU_691,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
OTU_2892,Bacteria, Proteobacteria, Gammaproteobacteria,,,,
OTU_4063,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_4075,Bacteria, OP11, WCHB1-64, d153, , , 
OTU_606,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_4079,Bacteria, Acidobacteria, Acidobacteria-5, , , , 
OTU_3633,Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, , , 
OTU_1530,Bacteria, Verrucomicrobia, [Methylacidiphilae], Methylacidiphilales, LD19, , 
OTU_357,Bacteria, Firmicutes, Clostridia, Clostridiales, [Mogibacteriaceae], Anaerovorax, 
OTU_1251,Bacteria, Acidobacteria, Solibacteres, Solibacterales, Solibacteraceae, Candidatus Solibacter, 
OTU_1434,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_1761,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Ellin5290, , , 
OTU_2605,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3251,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_2963,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_4085,Bacteria, Proteobacteria, Gammaproteobacteria,,,,
OTU_3411,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], DA101, 
OTU_2276,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, bacteriovorus
OTU_699,Bacteria, Proteobacteria, Deltaproteobacteria, [Entotheonellales], [Entotheonellaceae], , 
OTU_3025,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, celatum
OTU_3294,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_2376,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, Steroidobacter, 
OTU_2951,Bacteria, Gemmatimonadetes, Gemmatimonadetes, C114, , , 
OTU_4145,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Pediococcus,
OTU_703,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae,,
OTU_370,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_1336,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,
OTU_1300,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], , 
OTU_1383,Bacteria, Planctomycetes, OM190, agg27, , , 
OTU_331,Bacteria, Gemmatimonadetes, Gemm-3, , , , 
OTU_196,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
OTU_2602,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae,,
OTU_3149,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Silvimonas, terrae
OTU_3466,Bacteria, Proteobacteria, Deltaproteobacteria, , , , 
OTU_1071,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae,,
OTU_2262,Bacteria, Planctomycetes, Planctomycetia, B97, , , 
OTU_581,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae,,
OTU_4039,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, , 
OTU_3409,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, , 
OTU_177,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis, 
OTU_2322,Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae, , 
OTU_1490,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, 
OTU_3328,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_2525,Bacteria, TM6, SJA-4, , , , 
OTU_147,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae,,
OTU_2829,Bacteria, Proteobacteria, Deltaproteobacteria,,,,
OTU_368,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU_2481,Bacteria, Gemmatimonadetes, Gemm-5, , , , 
OTU_834,Bacteria, Proteobacteria, Betaproteobacteria, MWH-UniP1, , , 
OTU_890,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, gladioli
OTU_1020,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU_1396,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_2842,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Isosphaeraceae, , 
OTU_1571,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales,,,
OTU_642,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae, , 
OTU_2819,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_2428,Bacteria, Acidobacteria, Acidobacteria-6, CCU21, , , 
OTU_1592,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_050,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, algae
OTU_610,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae,,
OTU_3459,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, C111, , 
OTU_1835,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_2890,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
OTU_415,Bacteria, Verrucomicrobia, [Methylacidiphilae], Methylacidiphilales, LD19, , 
